date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-Nov-12,0,3.2, , , , , , 
02-Nov-12,0,7, , , , , , 
03-Nov-12,0,8, , , , , , 
04-Nov-12,0,1.6, , , , , , 
05-Nov-12,0,2.2, , , , , , 
06-Nov-12,0,1.5, , , , , , 
07-Nov-12,0,3.5, , , , , , 
08-Nov-12,0,16.5, , , , , , 
09-Nov-12,0,3.8, , , , , , 
10-Nov-12,0,3.1, , , , , , 
11-Nov-12,0,11.1, , , , , , 
12-Nov-12,0,24.5, , , , , , 
13-Nov-12,0,1.4, , , , , , 
14-Nov-12,0,3.1, , , , , , 
15-Nov-12,0,3.6, , , , , , 
16-Nov-12,0,3.9, , , , , , 
17-Nov-12,0,1.7, , , , , , 
18-Nov-12,0,26.4, , , , , , 
19-Nov-12,0,2.8, , , , , , 
20-Nov-12,0,7, , , , , , 
21-Nov-12,0,18.9, , , , , , 
22-Nov-12,0,7.9, , , , , , 
23-Nov-12,0,3.1, , , , , , 
24-Nov-12,0,0, , , , , , 
25-Nov-12,0,2.2, , , , , , 
26-Nov-12,0,4.4, , , , , , 
27-Nov-12,0,1.8, , , , , , 
28-Nov-12,0,0, , , , , , 
29-Nov-12,0,6.9, , , , , , 
30-Nov-12,0,1.6, , , , , , 
01-Dec-12,0,6.1, , , , , , 
02-Dec-12,0,16.3, , , , , , 
03-Dec-12,0,2.9, , , , , , 
04-Dec-12,0,5.3, , , , , , 
05-Dec-12,0,6, , , , , , 
06-Dec-12,0,7.5, , , , , , 
07-Dec-12,0,0, , , , , , 
08-Dec-12,0,2.4, , , , , , 
09-Dec-12,0,0, , , , , , 
10-Dec-12,0,0, , , , , , 
11-Dec-12,0,0.8, , , , , , 
12-Dec-12,0,5.3, , , , , , 
13-Dec-12,0,2, , , , , , 
14-Dec-12,0,4.3, , , , , , 
15-Dec-12,0,4.5, , , , , , 
16-Dec-12,0,13.5, , , , , , 
17-Dec-12,0,1.8, , , , , , 
18-Dec-12,0,7.8, , , , , , 
19-Dec-12,0,0, , , , , , 
20-Dec-12,0,0.9, , , , , , 
21-Dec-12,0,11.4, , , , , , 
22-Dec-12,0,5.9, , , , , , 
23-Dec-12,0,1.1, , , , , , 
24-Dec-12,0,2, , , , , , 
25-Dec-12,0,3.1, , , , , , 
26-Dec-12,0,11, , , , , , 
27-Dec-12,0,10, , , , , , 
28-Dec-12,0,5.8, , , , , , 
29-Dec-12,0,8.1, , , , , , 
30-Dec-12,0,24.1, , , , , , 
31-Dec-12,0,1.8, , , , , , 
01-Jan-13,0,3.5, , , , , , 
02-Jan-13,0,2.9, , , , , , 
03-Jan-13,0,1.7, , , , , , 
04-Jan-13,1,4.4, , , , , , 
05-Jan-13,1,16.4, , , , , , 
06-Jan-13,1,32.4, , , , , , 
07-Jan-13,1,14, , , , , , 
08-Jan-13,0,0, , , , , , 
09-Jan-13,0,0, , , , , , 
10-Jan-13,0,0.9, , , , , , 
11-Jan-13,0,0.2, , , , , , 
12-Jan-13,0,1.1, , , , , , 
13-Jan-13,0,4.7, , , , , , 
14-Jan-13,0,1.8, , , , , , 
15-Jan-13,0,7.9, , , , , , 
16-Jan-13,0,1, , , , , , 
17-Jan-13,0,26.2, , , , , , 
18-Jan-13,0,6.2, , , , , , 
19-Jan-13,0,0, , , , , , 
20-Jan-13,0,0, , , , , , 
21-Jan-13,0,1.6, , , , , , 
22-Jan-13,0,2.7, , , , , , 
23-Jan-13,0,0, , , , , , 
24-Jan-13,0,9.7, , , , , , 
25-Jan-13,0,0.7, , , , , , 
